w	EQE	w	EQE
	PBDB-T:F-M 190nm		PBDB-TF-T1:BTP-4F-12 180nm
799	0.0586764	799	75.693204
800	0.05866776	800	75.5784
801	0.070385544	801	75.39669
802	0.082103328	802	75.21498
803	0.093821112	803	75.03327
804	0.105538896	804	74.85156
805	0.11725668	805	74.66985
806	0.128974464	806	74.48814
807	0.140692248	807	74.30643
808	0.152410032	808	74.12472
809	0.164127816	809	73.94301
810	0.1758456	810	73.7613
811	0.16985052	811	73.57959
812	0.16385544	812	73.39788
813	0.15786036	813	73.21617
814	0.15186528	814	73.03446
815	0.1458702	815	72.85275
816	0.13987512	816	72.67104
817	0.13388004	817	72.48933
818	0.12788496	818	72.30762
819	0.12188988	819	72.12591
820	0.1158948	820	71.9442
821	0.12179592	821	71.697096
822	0.12769704	822	71.449992
823	0.13359816	823	71.202888
824	0.13949928	824	70.955784
825	0.1454004	825	70.70868
826	0.15130152	826	70.461576
827	0.15720264	827	70.214472
828	0.16310376	828	69.967368
829	0.16900488	829	69.720264
830	0.174906	830	69.47316
831	0.17465652	831	69.185556
832	0.17440704	832	68.897952
833	0.17415756	833	68.610348
834	0.17390808	834	68.322744
835	0.1736586	835	68.03514
836	0.17340912	836	67.747536
837	0.17315964	837	67.459932
838	0.17291016	838	67.172328
839	0.17266068	839	66.884724
840	0.1724112	840	66.59712
841	0.17722692	841	66.15054
842	0.18204264	842	65.70396
843	0.18685836	843	65.25738
844	0.19167408	844	64.8108
845	0.1964898	845	64.36422
846	0.20130552	846	63.91764
847	0.20612124	847	63.47106
848	0.21093696	848	63.02448
849	0.21575268	849	62.5779
850	0.2205684	850	62.13132
851	0.21924	851	61.558272
852	0.2179116	852	60.985224
853	0.2165832	853	60.412176
854	0.2152548	854	59.839128
855	0.2139264	855	59.26608
856	0.212598	856	58.693032
857	0.2112696	857	58.119984
858	0.2099412	858	57.546936
859	0.2086128	859	56.973888
860	0.2072844	860	56.40084
861	0.20134332	861	55.683828
862	0.19540224	862	54.966816
863	0.18946116	863	54.249804
864	0.18352008	864	53.532792
865	0.177579	865	52.81578
866	0.17163792	866	52.098768
867	0.16569684	867	51.381756
868	0.15975576	868	50.664744
869	0.15381468	869	49.947732
870	0.1478736	870	49.23072
871	0.15116436	871	48.37428
872	0.15445512	872	47.51784
873	0.15774588	873	46.6614
874	0.16103664	874	45.80496
875	0.1643274	875	44.94852
876	0.16761816	876	44.09208
877	0.17090892	877	43.23564
878	0.17419968	878	42.3792
879	0.17749044	879	41.52276
880	0.1807812	880	40.66632
881	0.17087112	881	39.818628
882	0.16096104	882	38.970936
883	0.15105096	883	38.123244
884	0.14114088	884	37.275552
885	0.1312308	885	36.42786
886	0.12132072	886	35.580168
887	0.11141064	887	34.732476
888	0.10150056	888	33.884784
889	0.09159048	889	33.037092
890	0.0816804	890	32.1894
891	0.080895996	891	31.443768
892	0.080111592	892	30.698136
893	0.079327188	893	29.952504
894	0.078542784	894	29.206872
895	0.07775838	895	28.46124
896	0.076973976	896	27.715608
897	0.076189572	897	26.969976
898	0.075405168	898	26.224344
899	0.074620764	899	25.478712
900	0.07383636	900	24.73308
