wavelength,Quantum efficiency,normalized QE,inflection point
nm,[%],[ ],nm
PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm
466,55.42776,0.749773557341125,712.6
467,55.64106,0.752658875091307,712.6
468,55.85436,0.75554419284149,712.6
469,56.06766,0.758429510591673,712.6
470,56.28096,0.761314828341855,712.6
471,56.380428,0.762660336011687,712.6
472,56.479896,0.764005843681519,712.6
473,56.579364,0.765351351351351,712.6
474,56.678832,0.766696859021183,712.6
475,56.7783,0.768042366691015,712.6
476,56.877768,0.769387874360847,712.6
477,56.977236,0.770733382030679,712.6
478,57.076704,0.772078889700511,712.6
479,57.176172,0.773424397370343,712.6
480,57.27564,0.774769905040175,712.6
481,57.4614,0.777282688093499,712.6
482,57.64716,0.779795471146822,712.6
483,57.83292,0.782308254200146,712.6
484,58.01868,0.78482103725347,712.6
485,58.20444,0.787333820306793,712.6
486,58.3902,0.789846603360117,712.6
487,58.57596,0.792359386413441,712.6
488,58.76172,0.794872169466764,712.6
489,58.94748,0.797384952520088,712.6
490,59.13324,0.799897735573411,712.6
491,59.405832,0.803585098612125,712.6
492,59.678424,0.80727246165084,712.6
493,59.951016,0.810959824689554,712.6
494,60.223608,0.814647187728269,712.6
495,60.4962,0.818334550766983,712.6
496,60.768792,0.822021913805697,712.6
497,61.041384,0.825709276844412,712.6
498,61.313976,0.829396639883126,712.6
499,61.586568,0.833084002921841,712.6
500,61.85916,0.836771365960555,712.6
501,62.22582,0.841731190650109,712.6
502,62.59248,0.846691015339664,712.6
503,62.95914,0.851650840029218,712.6
504,63.3258,0.856610664718773,712.6
505,63.69246,0.861570489408327,712.6
506,64.05912,0.866530314097882,712.6
507,64.42578,0.871490138787436,712.6
508,64.79244,0.87644996347699,712.6
509,65.1591,0.881409788166545,712.6
510,65.52576,0.886369612856099,712.6
511,65.79711,0.890040175310446,712.6
512,66.06846,0.893710737764792,712.6
513,66.33981,0.897381300219138,712.6
514,66.61116,0.901051862673484,712.6
515,66.88251,0.90472242512783,712.6
516,67.15386,0.908392987582177,712.6
517,67.42521,0.912063550036523,712.6
518,67.69656,0.915734112490869,712.6
519,67.96791,0.919404674945215,712.6
520,68.23926,0.923075237399562,712.6
521,68.51061,0.926745799853908,712.6
522,68.78196,0.930416362308254,712.6
523,69.05331,0.9340869247626,712.6
524,69.32466,0.937757487216947,712.6
525,69.59601,0.941428049671293,712.6
526,69.86736,0.945098612125639,712.6
527,70.13871,0.948769174579985,712.6
528,70.41006,0.952439737034331,712.6
529,70.68141,0.956110299488678,712.6
530,70.95276,0.959780861943024,712.6
531,71.169192,0.962708546384222,712.6
532,71.385624,0.96563623082542,712.6
533,71.602056,0.968563915266618,712.6
534,71.818488,0.971491599707816,712.6
535,72.03492,0.974419284149014,712.6
536,72.251352,0.977346968590212,712.6
537,72.467784,0.98027465303141,712.6
538,72.684216,0.983202337472608,712.6
539,72.900648,0.986130021913806,712.6
540,73.11708,0.989057706355004,712.6
541,73.197972,0.990151935719503,712.6
542,73.278864,0.991246165084003,712.6
